week_num,year_num,starting_week_date,post_reward_week_num,num_rides_pre_existing,cum_rides_pre_existing,pre_existing_rider_lift,pre_existing_incr_rides,num_rides_new_pp,cum_rides_new_pp,new_rider_pp_lift,pp_counterfactual_rides,pp_addl_rides,pp_incre_rides_from_counterfactual,pp_incre_rides_from_addl,num_rides_new_np,cum_rides_new_np,np_counterfactual_rides,np_addl_rides,np_incre_rides_from_counterfactual,np_incre_rides_from_addl,total_incre_rides,total_observed_rides,cum_total_incre_rides,cum_total_observed_rides,cum_baseline_rides,progress_t_target
32,2025,2025-08-04,0,72279,72279,0.0227,1604.0,2511,2511,1.833,2511.0,0.0,56.0,0.0,173,173,172.0,1.0,4.0,1.0,1665.0,74963,1665.0,74963,73298.0,0.0023322790218155637
33,2025,2025-08-11,1,71144,143423,0.0227,1579.0,3115,5626,1.833,3115.0,0.0,69.0,0.0,356,529,356.0,0.0,8.0,0.0,1656.0,74615,3321.0,149578,146257.0,0.004651951129999692
34,2025,2025-08-18,2,70997,214420,0.0227,1576.0,3784,9410,1.833,3588.0,196.0,80.0,127.0,480,1009,480.0,0.0,11.0,0.0,1794.0,75261,5115.0,224839,219724.0,0.007164929247199164
35,2025,2025-08-25,3,68724,283144,0.0227,1525.0,4127,13537,1.833,4127.0,0.0,92.0,0.0,478,1487,478.0,0.0,11.0,0.0,1628.0,73329,6743.0,298168,291425.0,0.009445379846307715
36,2025,2025-09-01,4,64865,348009,0.0227,1440.0,4042,17579,1.833,4042.0,0.0,90.0,0.0,552,2039,552.0,0.0,12.0,0.0,1542.0,69459,8285.0,367627,359342.0,0.011605364381826994
37,2025,2025-09-08,5,79603,427612,0.0227,1767.0,6303,23882,1.833,5773.0,530.0,128.0,343.0,740,2779,740.0,0.0,16.0,0.0,2254.0,86646,10539.0,454273,443734.0,0.014762695862410946
38,2025,2025-09-15,6,82999,510611,0.0227,1842.0,7756,31638,1.833,6893.0,863.0,153.0,558.0,936,3715,881.0,55.0,20.0,55.0,2628.0,91691,13167.0,545964,532797.0,0.018443914642790105
39,2025,2025-09-22,7,78045,588656,0.0227,1732.0,7539,39177,1.833,6964.0,575.0,155.0,372.0,945,4660,907.0,38.0,20.0,38.0,2317.0,86529,15484.0,632493,617009.0,0.021689494518794105
40,2025,2025-09-29,8,75585,664241,0.0227,1678.0,7670,46847,1.833,7010.0,660.0,156.0,427.0,957,5617,714.0,243.0,16.0,243.0,2520.0,84212,18004.0,716705,698701.0,0.02521943033559604
41,2025,2025-10-06,9,80892,745133,0.013,1038.0,9497,56344,1.287,7951.0,1546.0,102.0,870.0,1225,6842,950.0,275.0,12.0,275.0,2297.0,91614,20301.0,808319,788018.0,0.028436994847974628
42,2025,2025-10-13,10,81206,826339,0.006,484.0,9727,66071,1.129,8548.0,1179.0,51.0,625.0,1106,7948,1106.0,0.0,7.0,0.0,1167.0,92039,21468.0,900358,878890.0,0.03007169131551743
43,2025,2025-10-20,11,81997,908336,0.0167,1347.0,10745,76816,1.2154,9387.0,1358.0,154.0,745.0,1431,9379,1188.0,243.0,20.0,243.0,2509.0,94173,23977.0,994531,970554.0,0.033586218682325385
44,2025,2025-10-27,12,80333,988669,0.0167,1320.0,11931,88747,1.2154,9348.0,2583.0,154.0,1417.0,1334,10713,1066.0,268.0,18.0,268.0,3177.0,93598,27154.0,1088129,1060975.0,0.03803645919422211
45,2025,2025-11-03,13,82589,1071258,0.0137,1116.0,12553,101300,1.1763,10612.0,1941.0,143.0,1049.0,1424,12137,1214.0,210.0,16.0,210.0,2534.0,96566,29688.0,1184695,1155007.0,0.04158600576556183
46,2025,2025-11-10,14,77543,1148801,0.0101,775.0,12303,113603,0.9369,10481.0,1822.0,105.0,881.0,1642,13779,1349.0,293.0,13.0,293.0,2067.0,91488,31755.0,1276183,1244428.0,0.044481393596248184
47,2025,2025-11-17,15,77580,1226381,0.0165,1259.0,12720,126323,1.1505,11533.0,1187.0,187.0,635.0,1592,15371,1592.0,0.0,26.0,0.0,2107.0,91892,33862.0,1368075,1334213.0,0.04743281215418536
48,2025,2025-11-24,16,44032,1270413,0.0022,97.0,7345,133668,0.0763,7084.0,261.0,16.0,19.0,980,16351,980.0,0.0,2.0,0.0,134.0,52357,33996.0,1420432,1386436.0,0.047620515090475615
49,2025,2025-12-01,17,83784,1354197,0.014,1157.0,14714,148382,1.0961,12137.0,2577.0,168.0,1348.0,1655,18006,1218.0,437.0,17.0,437.0,3127.0,100153,37123.0,1520585,1483462.0,0.05200071719330881
50,2025,2025-12-08,18,84780,1438977,0.0233,1930.0,15224,163606,0.9593,11345.0,3879.0,258.0,1899.0,1839,19845,1331.0,508.0,30.0,508.0,4625.0,101843,41748.0,1622428,1580680.0,0.058479270031685376
51,2025,2025-12-15,19,65192,1504169,0.0045,292.0,12217,175823,0.1399,10829.0,1388.0,49.0,170.0,1548,21393,1534.0,14.0,7.0,14.0,532.0,78957,42280.0,1701385,1659105.0,0.05922447870412134
52,2025,2025-12-22,20,34652,1538821,0.0,0.0,6575,182398,0.0383,6575.0,0.0,0.0,0.0,847,22240,847.0,0.0,0.0,0.0,0.0,42074,42280.0,1743459,1701179.0,0.05922447870412134
1,2026,2025-12-29,21,42009,1580830,0.0,0.0,7761,190159,0.0281,7761.0,0.0,0.0,0.0,978,23218,978.0,0.0,0.0,0.0,0.0,50748,42280.0,1794207,1751927.0,0.05922447870412134
